,Dst,X(3872),X(3915)(0-),chi(c2)(3930),X(3940)(1+),X(3993),Psi(4040),X(4300),NR(0-)SPp,NR(1+)PSp,NR(0-)SPm,NR(1-)PPm
Dst,1.0,,,,,,,,,,,
X(3872),-0.09892394996201292,0.09892394996201287,,,,,,,,,,
X(3915)(0-),-0.03056287785147549,0.00016306761085548016,0.030562877851475444,,,,,,,,,
chi(c2)(3930),-0.016571101926235454,0.000326006628860967,-9.602640780195446e-05,0.016571101926235454,,,,,,,,
X(3940)(1+),-0.04638899846343081,-0.0043558242591125035,2.3167074627062495e-05,4.367812876794608e-05,0.04638899846343085,,,,,,,
X(3993),-0.09138288276951512,0.023714600748495268,0.00023463735591991788,8.273009472622994e-05,0.04141005891462103,0.09138288276951506,,,,,,
Psi(4040),-0.025530457337847423,9.980042134000167e-05,-6.104725753796475e-05,-4.752811358799472e-05,-0.00024604119769414123,-0.00011243374766899128,0.025530457337847447,,,,,
X(4300),-0.010529589200229172,-0.009088905219809693,-1.4034567525429004e-05,7.467259511222124e-06,0.01188747045249934,-0.0007254637088114912,1.6512492082006863e-05,0.010529589200229119,,,,
NR(0-)SPp,-0.14453994088312982,-8.925705158785435e-06,-0.0011286020650257515,-2.5490713454895397e-05,5.886555083910172e-05,-0.00025797738184715757,-7.0278503499186795e-06,6.739700710997436e-05,0.14453994088312977,,,
NR(1+)PSp,-0.16138782816754638,0.10034061407569378,0.00010223627461935017,0.00013243141852986584,0.01542363096277781,-0.07470383978434628,-9.019698659206918e-05,-0.002493780901512673,0.0003147463455565602,0.16138782816754638,,
NR(0-)SPm,-0.010635835080487044,5.075525317324581e-06,0.0029158725771657353,-1.5238948100383676e-05,-3.427540835321957e-05,-0.0001593431376214205,9.760554934363369e-06,2.0596316498196904e-05,0.05544045716227464,9.373495668379972e-05,0.010635835080487073,
NR(1-)PPm,-0.18498461864512916,0.00017302369404775808,-5.697310791492535e-05,4.567698315902091e-05,-0.00041864795717029557,-0.00024429531025510487,0.02041470001670029,-9.33676731644257e-05,-0.0003563642962184921,-0.0001658989221167695,1.4537375006267589e-06,0.18498461864512916
