,X(3872)/0,X(3872)/1,X(3915)(0-)/0,chi(c2)(3930)/0,X(3940)(1+)/0,X(3940)(1+)/1,X(3993)/0,X(3993)/1,Psi(4040)/0,X(4300)/0,X(4300)/1,NR(0-)SPp/0,NR(1+)PSp/0,NR(0-)SPm/0,NR(1-)PPm/0,X0(2900)/0,X1(2900)/0,X1(2900)/1,X1(2900)/2
X(3872)/0,0.05477794320628447,,,,,,,,,,,,,,,,,,
X(3872)/1,-7.162606221407941e-05,0.05444481802059184,,,,,,,,,,,,,,,,,
X(3915)(0-)/0,-6.21268928269457e-05,-0.00011998281682136215,0.03359738467558786,,,,,,,,,,,,,,,,
chi(c2)(3930)/0,-2.4513962742388605e-05,4.7729511567758034e-05,-6.094758178398077e-05,0.01824895689549691,,,,,,,,,,,,,,,
X(3940)(1+)/0,-0.03119625339007259,-0.0001560932215940583,0.00021631246589110643,3.2287183155842466e-05,0.024228536785564567,,,,,,,,,,,,,,
X(3940)(1+)/1,0.00011834184326195553,0.03565804563799471,-1.2718980447418718e-05,-4.500196331506206e-05,-0.00014505003155786806,0.02686283686574409,,,,,,,,,,,,,
X(3993)/0,-0.007202696732641413,0.0002904639854773701,-0.0003277623280793703,-2.9357862777891218e-05,-0.051882309416403406,-1.0773583318165866e-05,0.07785402437758646,,,,,,,,,,,,
X(3993)/1,-7.005965745829187e-05,0.03398303668033081,2.609773500550715e-05,-1.9163566095890033e-05,-0.00010968356580132246,0.006432416444552101,0.0003972167278754039,0.022051893121697207,,,,,,,,,,,
Psi(4040)/0,-5.511383278303114e-05,-9.324129930247875e-05,6.601910926790789e-05,5.424263957080197e-05,-0.0001912926096379188,-4.2483237575960145e-05,0.0003847585694189629,-5.044692535162224e-05,0.027908843720616434,,,,,,,,,,
X(4300)/0,-0.0018757225703628095,3.0057387661976803e-05,4.5095472135329885e-06,-1.0823631405655261e-06,0.004130285908269763,5.374894794943484e-06,0.0014499293157331308,9.210033917957464e-06,1.0087610408036742e-05,0.003211642013127511,,,,,,,,,
X(4300)/1,1.555429727481985e-05,0.011854172101993955,-3.184471945562059e-05,-6.193443053755258e-07,1.3144888182929264e-05,0.008964234661178109,-1.7005099661432685e-05,-0.0006861221227495786,-1.3576652326616369e-05,4.5834923023555465e-05,0.008365025179614788,,,,,,,,
NR(0-)SPp/0,-0.00015370787647569044,0.0003241629130324301,-0.0014034827584464055,-2.263014079395426e-05,7.988508160931526e-05,8.57047472365905e-05,1.8142924832212084e-05,0.00016503068543938633,9.384516016403386e-05,1.4179103421188265e-06,-5.964998996585819e-05,0.15982269189888665,,,,,,,
NR(1+)PSp/0,0.11067939298779955,-6.456341207131484e-05,-0.00011272783523154893,-2.8141139998659042e-05,-0.017096588982577373,0.0002001298456200914,-0.08139422776611735,-0.0001623297351117443,-0.00017502480185486758,0.002705280893179389,4.747898524315043e-05,-0.0004877919229727394,0.17768639158563157,,,,,,
NR(0-)SPm/0,6.976623120266352e-05,-2.938757952899981e-05,-0.0031814337650616516,1.0906452302982159e-05,-1.428972985588114e-05,5.419214405142773e-06,-8.421371330860313e-05,-5.6439260544563815e-05,-2.6488124173781552e-05,1.3542757084718135e-06,1.6170013102190817e-05,-0.06117852672820783,0.00021075006678706768,0.011744410887474107,,,,,
NR(1-)PPm/0,0.0001026834901857898,-9.830622984744388e-05,2.481315234070983e-05,0.0002966895689814438,-0.0002634527657628601,-3.523926757749435e-05,3.7729514415827864e-05,1.0819026155361305e-05,0.022061107560651598,-1.2356491273367639e-05,0.0001525008829182291,8.22731980735816e-05,0.00023891867723593906,2.554679915852231e-05,0.20479561877074287,,,,
X0(2900)/0,0.007608401464544977,0.0013564049260291137,0.014595644815999922,1.328836172204633e-05,0.0027381366291075824,-0.005409352296693488,-0.004481158868037354,0.005153622440363635,-6.67067154835721e-05,0.000416302498401305,0.0009530130189051503,-0.02017525098303051,-0.009722580557669514,-0.001259993463360177,-0.0002927668829098756,0.06534008164756874,,,
X1(2900)/0,-0.008592354050279156,-0.00043852428321652475,-0.0016280215215414718,1.0516782505235793e-08,0.00493369672005393,0.000580871472686975,0.0029194585172997133,-0.0007625065570015411,-1.2949786008106062e-05,0.0001820621967464451,-0.00019952825222699776,-0.012475970739729683,-0.03750266381445101,0.002763551344458918,6.505218428246854e-05,1.43143491012802e-05,0.01019301577807009,,
X1(2900)/1,-1.167259832018117e-06,-2.9521381569429323e-06,-1.7385777793465505e-05,0.00011823825669940116,-1.0821333910214758e-06,6.074635074751845e-06,1.180329006304371e-06,1.4473124623808158e-06,0.002047597637678936,4.44020633835964e-06,7.879912385803758e-06,3.3538834926299283e-06,3.0083326101504432e-05,2.6045063185124715e-06,0.02113486679351154,-5.7456436234539404e-05,1.6251588267334882e-06,0.0022255331451928816,
X1(2900)/2,-0.00470239383203854,0.01136979907867831,0.009800964826227589,-1.3785734456724865e-05,0.0032954697981784882,-0.007941852102219846,-0.003159699878823021,0.012333704530859323,7.86219117063859e-05,0.00027434116114007215,0.002228430597195072,0.00534806229936266,0.0019448452528373333,-0.0028513663841449807,-4.5718689736901774e-05,-0.00019433078713228109,-8.006354418181861e-05,-4.270839950431326e-06,0.043165130911902085
